GO_ID	name	namespace	observed	expected	fold_enrichment	p_value	total_study_annotations	background_size	p_fdr_bh	significant
GO:0006509	membrane protein ectodomain proteolysis	biological_process	2	0.9210964607911173	2.1713252467415054	0.0	39819	43230	0.0	True
GO:0007166	cell surface receptor signaling pathway	biological_process	48	0.9210964607911173	52.111805921796126	0.0	39819	43230	0.0	True
GO:0007229	integrin-mediated signaling pathway	biological_process	7	0.9210964607911173	7.599638363595268	0.0	39819	43230	0.0	True
GO:0006810	transport	biological_process	116	0.9210964607911173	125.93686431100731	0.0	39819	43230	0.0	True
GO:0051234	establishment of localization	biological_process	126	0.9210964607911173	136.79349054471484	0.0	39819	43230	0.0	True
GO:0098657	import into cell	biological_process	19	0.9210964607911173	20.6275898440443	0.0	39819	43230	0.0	True
GO:0006897	endocytosis	biological_process	11	0.9210964607911173	11.94228885707828	0.0	39819	43230	0.0	True
GO:0016192	vesicle-mediated transport	biological_process	45	0.9210964607911173	48.85481805168387	0.0	39819	43230	0.0	True
GO:0051179	localization	biological_process	134	0.9210964607911173	145.47879153168086	0.0	39819	43230	0.0	True
GO:0022857	transmembrane transporter activity	molecular_function	130	0.9210964607911173	141.13614103819785	0.0	39819	43230	0.0	True
GO:0015291	secondary active transmembrane transporter activity	molecular_function	17	0.9210964607911173	18.456264597302795	0.0	39819	43230	0.0	True
GO:0015293	symporter activity	molecular_function	12	0.9210964607911173	13.027951480449032	0.0	39819	43230	0.0	True
GO:0005886	plasma membrane	cellular_component	176	0.9210964607911173	191.07662171325248	0.0	39819	43230	0.0	True
GO:0070085	glycosylation	biological_process	9	0.9210964607911173	9.770963610336773	0.0	39819	43230	0.0	True
GO:0016757	glycosyltransferase activity	molecular_function	40	0.9210964607911173	43.426504934830106	0.0	39819	43230	0.0	True
GO:0019752	carboxylic acid metabolic process	biological_process	66	0.9210964607911173	71.65373314246968	0.0	39819	43230	0.0	True
GO:0006082	organic acid metabolic process	biological_process	83	0.9210964607911173	90.10999773977247	0.0	39819	43230	0.0	True
GO:0033559	unsaturated fatty acid metabolic process	biological_process	7	0.9210964607911173	7.599638363595268	0.0	39819	43230	0.0	True
GO:0016053	organic acid biosynthetic process	biological_process	47	0.9210964607911173	51.026143298425374	0.0	39819	43230	0.0	True
GO:0008610	lipid biosynthetic process	biological_process	80	0.9210964607911173	86.85300986966021	0.0	39819	43230	0.0	True
GO:0043436	oxoacid metabolic process	biological_process	66	0.9210964607911173	71.65373314246968	0.0	39819	43230	0.0	True
GO:0006631	fatty acid metabolic process	biological_process	49	0.9210964607911173	53.19746854516688	0.0	39819	43230	0.0	True
GO:0032787	monocarboxylic acid metabolic process	biological_process	50	0.9210964607911173	54.28313116853763	0.0	39819	43230	0.0	True
GO:0046394	carboxylic acid biosynthetic process	biological_process	47	0.9210964607911173	51.026143298425374	0.0	39819	43230	0.0	True
GO:0072330	monocarboxylic acid biosynthetic process	biological_process	43	0.9210964607911173	46.68349280494236	0.0	39819	43230	0.0	True
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	16	0.9210964607911173	17.370601973932043	0.0	39819	43230	0.0	True
GO:0016798	hydrolase activity, acting on glycosyl bonds	molecular_function	17	0.9210964607911173	18.456264597302795	0.0	39819	43230	0.0	True
GO:0004568	chitinase activity	molecular_function	4	0.9210964607911173	4.342650493483011	0.0	39819	43230	0.0	True
GO:0016758	hexosyltransferase activity	molecular_function	22	0.9210964607911173	23.88457771415656	0.0	39819	43230	0.0	True
GO:0008194	UDP-glycosyltransferase activity	molecular_function	28	0.9210964607911173	30.398553454381073	0.0	39819	43230	0.0	True
GO:0015020	glucuronosyltransferase activity	molecular_function	5	0.9210964607911173	5.428313116853763	0.0	39819	43230	0.0	True
GO:0031123	RNA 3'-end processing	biological_process	7	0.9210964607911173	7.599638363595268	0.0	39819	43230	0.0	True
GO:0140657	ATP-dependent activity	molecular_function	40	0.9210964607911173	43.426504934830106	0.0	39819	43230	0.0	True
GO:0044183	protein folding chaperone	molecular_function	5	0.9210964607911173	5.428313116853763	0.0	39819	43230	0.0	True
GO:0140662	ATP-dependent protein folding chaperone	molecular_function	5	0.9210964607911173	5.428313116853763	0.0	39819	43230	0.0	True
GO:0006811	monoatomic ion transport	biological_process	17	0.9210964607911173	18.456264597302795	0.0	39819	43230	0.0	True
GO:0006812	monoatomic cation transport	biological_process	11	0.9210964607911173	11.94228885707828	0.0	39819	43230	0.0	True
GO:0030001	metal ion transport	biological_process	11	0.9210964607911173	11.94228885707828	0.0	39819	43230	0.0	True
GO:0006814	sodium ion transport	biological_process	3	0.9210964607911173	3.256987870112258	0.0	39819	43230	0.0	True
GO:0005215	transporter activity	molecular_function	145	0.9210964607911173	157.42108038875912	0.0	39819	43230	0.0	True
GO:0022804	active transmembrane transporter activity	molecular_function	28	0.9210964607911173	30.398553454381073	0.0	39819	43230	0.0	True
GO:0046348	amino sugar catabolic process	biological_process	4	0.9210964607911173	4.342650493483011	0.0	39819	43230	0.0	True
GO:1901135	carbohydrate derivative metabolic process	biological_process	44	0.9210964607911173	47.76915542831312	0.0	39819	43230	0.0	True
GO:0006030	chitin metabolic process	biological_process	4	0.9210964607911173	4.342650493483011	0.0	39819	43230	0.0	True
GO:0006040	amino sugar metabolic process	biological_process	5	0.9210964607911173	5.428313116853763	0.0	39819	43230	0.0	True
GO:1901072	glucosamine-containing compound catabolic process	biological_process	4	0.9210964607911173	4.342650493483011	0.0	39819	43230	0.0	True
GO:0006026	aminoglycan catabolic process	biological_process	4	0.9210964607911173	4.342650493483011	0.0	39819	43230	0.0	True
GO:1901071	glucosamine-containing compound metabolic process	biological_process	4	0.9210964607911173	4.342650493483011	0.0	39819	43230	0.0	True
GO:0006032	chitin catabolic process	biological_process	4	0.9210964607911173	4.342650493483011	0.0	39819	43230	0.0	True
GO:0044036	cell wall macromolecule metabolic process	biological_process	4	0.9210964607911173	4.342650493483011	0.0	39819	43230	0.0	True
GO:0009057	macromolecule catabolic process	biological_process	47	0.9210964607911173	51.026143298425374	0.0	39819	43230	0.0	True
GO:0016998	cell wall macromolecule catabolic process	biological_process	4	0.9210964607911173	4.342650493483011	0.0	39819	43230	0.0	True
GO:0007167	enzyme-linked receptor protein signaling pathway	biological_process	32	0.9210964607911173	34.741203947864086	0.0	39819	43230	0.0	True
GO:0007169	cell surface receptor protein tyrosine kinase signaling pathway	biological_process	27	0.9210964607911173	29.31289083101032	0.0	39819	43230	0.0	True
