GO_ID	GO_Type	Study_Count	Study_Total	Population_Count	Population_Total	Fold_Enrichment	P_Value	Odds_Ratio	GO_Term	FDR_P_Value
GO:0035091	F	4	1080	17	8571	1.8673202614379085	0.15737673045980302	2.138404346582785	phosphatidylinositol binding	0.43085104896372306
GO:0001671	F	2	1080	6	8571	2.64537037037037	0.16869116280097762	3.472634508348794	ATPase activator activity	0.44954400299622227
GO:0008526	F	2	1080	6	8571	2.64537037037037	0.16869116280097762	3.472634508348794	phosphatidylinositol transfer activity	0.44954400299622227
GO:0031210	F	2	1080	6	8571	2.64537037037037	0.16869116280097762	3.472634508348794	phosphatidylcholine binding	0.44954400299622227
GO:0046974	F	2	1080	6	8571	2.64537037037037	0.16869116280097762	3.472634508348794	histone H3K9 methyltransferase activity	0.44954400299622227
GO:0043495	F	2	1080	6	8571	2.64537037037037	0.16869116280097762	3.472634508348794	protein-membrane adaptor activity	0.44954400299622227
GO:0016301	F	9	1080	50	8571	1.4284999999999999	0.17123317484214728	1.526952244312359	kinase activity	0.4539038126768031
GO:0016614	F	8	1080	44	8571	1.442929292929293	0.18272118196213127	1.5453980099502487	oxidoreductase activity, acting on CH-OH group of donors	0.46948444271688494
GO:0038023	F	4	1080	18	8571	1.7635802469135802	0.18339375983077472	1.9853956452469463	signaling receptor activity	0.46948444271688494
GO:0008374	F	4	1080	18	8571	1.7635802469135802	0.18339375983077472	1.9853956452469463	O-acyltransferase activity	0.46948444271688494
GO:0003924	F	16	1080	101	8571	1.2572057205720573	0.19812595087146728	1.3102167182662539	GTPase activity	0.46948444271688494
GO:0061630	F	16	1080	101	8571	1.2572057205720573	0.19812595087146728	1.3102167182662539	ubiquitin protein ligase activity	0.46948444271688494
GO:0016298	F	6	1080	32	8571	1.4880208333333333	0.20872979861332072	1.6039965620971208	lipase activity	0.46948444271688494
GO:0031177	F	2	1080	7	8571	2.2674603174603174	0.217282566250123	2.7777365491651205	phosphopantetheine binding	0.46948444271688494
GO:0015279	F	2	1080	7	8571	2.2674603174603174	0.217282566250123	2.7777365491651205	store-operated calcium channel activity	0.46948444271688494
GO:0005109	F	2	1080	7	8571	2.2674603174603174	0.217282566250123	2.7777365491651205	frizzled binding	0.46948444271688494
GO:0005313	F	2	1080	7	8571	2.2674603174603174	0.217282566250123	2.7777365491651205	L-glutamate transmembrane transporter activity	0.46948444271688494
GO:0015293	F	3	1080	13	8571	1.8314102564102563	0.2193676370177403	2.083844011142061	symporter activity	0.46948444271688494
GO:0070573	F	3	1080	13	8571	1.8314102564102563	0.2193676370177403	2.083844011142061	metallodipeptidase activity	0.46948444271688494
GO:0005243	F	3	1080	13	8571	1.8314102564102563	0.2193676370177403	2.083844011142061	gap junction channel activity	0.46948444271688494
